local,tempo,trat,rep,num
"-0,5",24,NT,3,1
"-0,5",24,NT,4,6
"-0,5",24,NT,5,0
"-0,5",24,E,1,0
"-0,5",24,E,2,1
"-0,5",24,E,3,0
"-0,5",24,E,4,0
"-0,5",24,E,5,4
"-0,5",24,G,1,0
"-0,5",24,G,2,0
"-0,5",24,G,3,0
"-0,5",24,G,4,0
"-0,5",24,G,5,0
"-0,5",24,C,1,0
"-0,5",24,C,2,0
"-0,5",24,C,3,0
"-0,5",24,C,4,1
"-0,5",24,C,5,1
"-0,5",24,T,1,0
"-0,5",24,T,2,0
"-0,5",24,T,3,1
"-0,5",24,T,4,0
"-0,5",24,T,5,0
"-0,5",36,NT,1,0
"-0,5",36,NT,2,0
"-0,5",36,NT,3,4
"-0,5",36,NT,4,0
"-0,5",36,NT,5,0
"-0,5",36,E,1,1
"-0,5",36,E,2,3
"-0,5",36,E,3,0
"-0,5",36,E,4,0
"-0,5",36,E,5,0
"-0,5",36,G,1,0
"-0,5",36,G,2,0
"-0,5",36,G,3,0
"-0,5",36,G,4,0
"-0,5",36,G,5,0
"-0,5",36,C,1,0
"-0,5",36,C,2,0
"-0,5",36,C,3,0
"-0,5",36,C,4,0
"-0,5",36,C,5,0
"-0,5",36,T,1,0
"-0,5",36,T,2,0
"-0,5",36,T,3,0
"-0,5",36,T,4,1
"-0,5",36,T,5,1
"-0,5",44,NT,1,0
"-0,5",44,NT,2,0
"-0,5",44,NT,3,0
"-0,5",44,NT,4,0
"-0,5",44,NT,5,0
"-0,5",44,E,1,0
"-0,5",44,E,2,2
"-0,5",44,E,3,0
"-0,5",44,E,4,0
"-0,5",44,E,5,0
"-0,5",44,G,1,0
"-0,5",44,G,2,0
"-0,5",44,G,3,0
"-0,5",44,G,4,0
"-0,5",44,G,5,0
"-0,5",44,C,1,0
"-0,5",44,C,2,0
"-0,5",44,C,3,0
"-0,5",44,C,4,0
"-0,5",44,C,5,0
"-0,5",44,T,1,0
"-0,5",44,T,2,0
"-0,5",44,T,3,0
"-0,5",44,T,4,0
"-0,5",44,T,5,2
0,1,NT,1,0
0,1,NT,2,1
0,1,NT,3,4
0,1,NT,4,1
0,1,NT,5,2
0,1,E,1,2
0,1,E,2,3
0,1,E,3,5
0,1,E,4,1
0,1,E,5,3
0,1,G,1,19
0,1,G,2,1
0,1,G,3,3
0,1,G,4,1
0,1,G,5,3
0,1,C,1,2
0,1,C,2,2
0,1,C,3,2
0,1,C,4,3
0,1,C,5,2
0,1,T,1,4
0,1,T,2,0
0,1,T,3,6
0,1,T,4,6
0,1,T,5,6
0,16,NT,1,1
0,16,NT,2,0
0,16,NT,3,2
0,16,NT,4,1
0,16,NT,5,5
0,16,E,1,1
0,16,E,2,0
0,16,E,3,1
0,16,E,4,0
0,16,E,5,2
0,16,G,1,18
0,16,G,2,0
0,16,G,3,2
0,16,G,4,0
0,16,G,5,2
0,16,C,1,0
0,16,C,2,0
0,16,C,3,0
0,16,C,4,1
0,16,C,5,1
0,16,T,1,2
0,16,T,2,1
0,16,T,3,2
0,16,T,4,0
0,16,T,5,1
0,21,NT,1,0
0,21,NT,2,0
0,21,NT,3,4
0,21,NT,4,2
0,21,NT,5,1
0,21,E,1,1
0,21,E,2,3
0,21,E,3,2
0,21,E,4,0
0,21,E,5,2
0,21,G,1,18
0,21,G,2,0
0,21,G,3,3
0,21,G,4,2
0,21,G,5,0
0,21,C,1,0
0,21,C,2,3
0,21,C,3,0
0,21,C,4,2
0,21,C,5,2
0,21,T,1,2
0,21,T,2,1
0,21,T,3,0
0,21,T,4,1
0,21,T,5,1
0,24,NT,1,1
0,24,NT,2,0
0,24,NT,3,3
0,24,NT,4,0
0,24,NT,5,3
0,24,E,1,3
0,24,E,2,4
0,24,E,3,3
0,24,E,4,0
0,24,E,5,1
0,24,G,1,0
0,24,G,2,0
0,24,G,3,3
0,24,G,4,0
0,24,G,5,0
0,24,C,1,1
0,24,C,2,1
0,24,C,3,0
0,24,C,4,1
0,24,C,5,2
0,24,T,1,2
0,24,T,2,2
0,24,T,3,3
0,24,T,4,1
0,24,T,5,3
0,36,NT,1,0
0,36,NT,2,4
0,36,NT,3,2
0,36,NT,4,1
0,36,NT,5,0
0,36,E,1,1
0,36,E,2,0
0,36,E,3,2
0,36,E,4,0
0,36,E,5,2
0,36,G,1,17
0,36,G,2,0
0,36,G,3,3
0,36,G,4,0
0,36,G,5,2
0,36,C,1,0
0,36,C,2,3
0,36,C,3,0
0,36,C,4,3
0,36,C,5,1
0,36,T,1,1
0,36,T,2,1
0,36,T,3,2
0,36,T,4,1
0,36,T,5,2
0,44,NT,1,0
0,44,NT,2,0
0,44,NT,3,3
0,44,NT,4,0
0,44,NT,5,1
0,44,E,1,2
0,44,E,2,3
0,44,E,3,1
0,44,E,4,2
0,44,E,5,1
0,44,G,1,3
0,44,G,2,0
0,44,G,3,3
0,44,G,4,0
0,44,G,5,0
0,44,C,1,0
0,44,C,2,1
0,44,C,3,0
0,44,C,4,2
0,44,C,5,0
0,44,T,1,1
0,44,T,2,1
0,44,T,3,3
0,44,T,4,0
0,44,T,5,1
"0,5",1,NT,1,0
"0,5",1,NT,2,0
"0,5",1,NT,3,1
"0,5",1,NT,4,2
"0,5",1,NT,5,0
"0,5",1,E,1,0
"0,5",1,E,2,0
"0,5",1,E,3,0
"0,5",1,E,4,1
"0,5",1,E,5,1
"0,5",1,G,1,0
"0,5",1,G,2,0
"0,5",1,G,3,0
"0,5",1,G,4,0
"0,5",1,G,5,1
"0,5",1,C,1,2
"0,5",1,C,2,0
"0,5",1,C,3,0
"0,5",1,C,4,0
"0,5",1,C,5,0
"0,5",1,T,1,0
"0,5",1,T,2,0
"0,5",1,T,3,0
"0,5",1,T,4,0
"0,5",1,T,5,1
"0,5",16,NT,1,7
"0,5",16,NT,2,0
"0,5",16,NT,3,0
"0,5",16,NT,4,0
"0,5",16,NT,5,0
"0,5",16,E,1,2
"0,5",16,E,2,0
"0,5",16,E,3,0
"0,5",16,E,4,0
"0,5",16,E,5,0
"0,5",16,G,1,0
"0,5",16,G,2,0
"0,5",16,G,3,0
"0,5",16,G,4,0
"0,5",16,G,5,0
"0,5",16,C,1,2
"0,5",16,C,2,2
"0,5",16,C,3,7
"0,5",16,C,4,0
"0,5",16,C,5,0
"0,5",16,T,1,0
"0,5",16,T,2,0
"0,5",16,T,3,0
"0,5",16,T,4,0
"0,5",16,T,5,0
"0,5",21,NT,1,0
"0,5",21,NT,2,0
"0,5",21,NT,3,0
"0,5",21,NT,4,3
"0,5",21,NT,5,0
"0,5",21,E,1,0
"0,5",21,E,2,1
"0,5",21,E,3,0
"0,5",21,E,4,0
"0,5",21,E,5,0
"0,5",21,G,1,0
"0,5",21,G,2,0
"0,5",21,G,3,0
"0,5",21,G,4,0
"0,5",21,G,5,2
"0,5",21,C,1,0
"0,5",21,C,2,0
"0,5",21,C,3,0
"0,5",21,C,4,0
"0,5",21,C,5,4
"0,5",21,T,1,1
"0,5",21,T,2,0
"0,5",21,T,3,0
"0,5",21,T,4,0
"0,5",21,T,5,1
"0,5",24,NT,1,2
"0,5",24,NT,2,5
"0,5",24,NT,3,0
"0,5",24,NT,4,5
"0,5",24,NT,5,0
"0,5",24,E,1,1
"0,5",24,E,2,1
"0,5",24,E,3,0
"0,5",24,E,4,1
"0,5",24,E,5,3
"0,5",24,G,1,0
"0,5",24,G,2,0
"0,5",24,G,3,0
"0,5",24,G,4,0
"0,5",24,G,5,0
"0,5",24,C,1,0
"0,5",24,C,2,2
"0,5",24,C,3,0
"0,5",24,C,4,0
"0,5",24,C,5,1
"0,5",24,T,1,2
"0,5",24,T,2,0
"0,5",24,T,3,0
"0,5",24,T,4,0
"0,5",24,T,5,0
"0,5",36,NT,1,0
"0,5",36,NT,2,0
"0,5",36,NT,3,2
"0,5",36,NT,4,0
"0,5",36,NT,5,0
"0,5",36,E,1,0
"0,5",36,E,2,0
"0,5",36,E,3,0
"0,5",36,E,4,0
"0,5",36,E,5,0
"0,5",36,G,1,0
"0,5",36,G,2,0
